Customer ID,Region Code,Year,Revenue
10001,R-EAST,2018,7423.56
10001,R-EAST,2019,6780.62
10001,R-EAST,2020,7466.51
10001,R-EAST,2021,7759.52
10001,R-EAST,2022,8265.92
10001,R-EAST,2023,9851.72
10001,R-EAST,2024,9249.87
10001,R-EAST,2025,5042.57
10002,R-SOUTH,2018,10688.25
10002,R-SOUTH,2019,12886.77
10002,R-SOUTH,2020,11851.15
10002,R-SOUTH,2021,14312.75
10002,R-SOUTH,2022,16047.05
10002,R-SOUTH,2023,17966.55
10002,R-SOUTH,2024,17751.3
10002,R-SOUTH,2025,8836.97
10003,R-WEST,2018,4013.23
10003,R-WEST,2019,4182.03
10003,R-WEST,2020,4122.31
10003,R-WEST,2021,4975.19
10003,R-WEST,2022,3740.42
10003,R-WEST,2023,4176.2
10003,R-WEST,2024,4468.47
10003,R-WEST,2025,2234.8
10004,R-EAST,2018,10863.39
10004,R-EAST,2019,10404.02
10004,R-EAST,2020,10168.32
10004,R-EAST,2021,9895.46
10004,R-EAST,2022,10674.53
10004,R-EAST,2023,10675.99
10004,R-EAST,2024,9636.52
10004,R-EAST,2025,5567.56
10005,R-NORTH,2018,9137.34
10005,R-NORTH,2019,8878.06
10005,R-NORTH,2020,8978.79
10005,R-NORTH,2021,9874.75
10005,R-NORTH,2022,10160.26
10005,R-NORTH,2023,10613.51
10005,R-NORTH,2024,8884.96
10005,R-NORTH,2025,5595.9
10006,R-WEST,2018,7055.52
10006,R-WEST,2019,6417.91
10006,R-WEST,2020,6213.4
10006,R-WEST,2021,7500.43
10006,R-WEST,2022,7903.81
10006,R-WEST,2023,7524.79
10006,R-WEST,2024,8244.51
10006,R-WEST,2025,4747.96
10007,R-EAST,2018,4702.23
10007,R-EAST,2019,4935.15
10007,R-EAST,2020,5477.67
10007,R-EAST,2021,5052.55
10007,R-EAST,2022,4423.85
10007,R-EAST,2023,5863.16
10007,R-EAST,2024,4974.56
10007,R-EAST,2025,3089.78
10008,R-EAST,2018,9214.29
10008,R-EAST,2019,7603.07
10008,R-EAST,2020,7260.05
10008,R-EAST,2021,7550.38
10008,R-EAST,2022,7693.57
10008,R-EAST,2023,8168.38
10008,R-EAST,2024,7792.52
10008,R-EAST,2025,4358.7
10009,R-NORTH,2018,5835.15
10009,R-NORTH,2019,5833.39
10009,R-NORTH,2020,6748.28
10009,R-NORTH,2021,7214.38
10009,R-NORTH,2022,7729.02
10009,R-NORTH,2023,7935.48
10009,R-NORTH,2024,7511.48
10009,R-NORTH,2025,4671.56
10010,R-SOUTH,2018,9089.86
10010,R-SOUTH,2019,9988.15
10010,R-SOUTH,2020,8862.48
10010,R-SOUTH,2021,10299.89
10010,R-SOUTH,2022,10634.55
10010,R-SOUTH,2023,11287.96
10010,R-SOUTH,2024,10223.74
10010,R-SOUTH,2025,6530.13
10011,R-SOUTH,2018,8016.36
10011,R-SOUTH,2019,9273.29
10011,R-SOUTH,2020,10319.69
10011,R-SOUTH,2021,9935.78
10011,R-SOUTH,2022,11189.62
10011,R-SOUTH,2023,11902.64
10011,R-SOUTH,2024,11796.5
10011,R-SOUTH,2025,8481.65
10012,R-WEST,2018,16796.98
10012,R-WEST,2019,17630.96
10012,R-WEST,2020,18788.47
10012,R-WEST,2021,23697.81
10012,R-WEST,2022,25568.67
10012,R-WEST,2023,24626.11
10012,R-WEST,2024,28700.44
10012,R-WEST,2025,16440.6
10013,R-EAST,2018,6882.01
10013,R-EAST,2019,7253.47
10013,R-EAST,2020,6364.41
10013,R-EAST,2021,7161.7
10013,R-EAST,2022,7206.05
10013,R-EAST,2023,7671.85
10013,R-EAST,2024,7854.3
10013,R-EAST,2025,3575.5
10014,R-WEST,2018,5429.45
10014,R-WEST,2019,5146.86
10014,R-WEST,2020,5514.81
10014,R-WEST,2021,5785.22
10014,R-WEST,2022,5022.57
10014,R-WEST,2023,6147.86
10014,R-WEST,2024,5341.61
10014,R-WEST,2025,3146.63
10015,R-SOUTH,2018,8063.19
10015,R-SOUTH,2019,8424.29
10015,R-SOUTH,2020,8383.7
10015,R-SOUTH,2021,8430.91
10015,R-SOUTH,2022,8293.46
10015,R-SOUTH,2023,7938.97
10015,R-SOUTH,2024,7978.17
10015,R-SOUTH,2025,3959.12
10016,R-NORTH,2018,7955.62
10016,R-NORTH,2019,10056.52
10016,R-NORTH,2020,8569.51
10016,R-NORTH,2021,10375.57
10016,R-NORTH,2022,9585.19
10016,R-NORTH,2023,9082.4
10016,R-NORTH,2024,9081.49
10016,R-NORTH,2025,5937.94
10017,R-EAST,2018,16758.02
10017,R-EAST,2019,15532.58
10017,R-EAST,2020,15267.69
10017,R-EAST,2021,18326.09
10017,R-EAST,2022,15972.76
10017,R-EAST,2023,17727.07
10017,R-EAST,2024,17170.19
10017,R-EAST,2025,10535.07
10018,R-NORTH,2018,10810.19
10018,R-NORTH,2019,11336.61
10018,R-NORTH,2020,10994.56
10018,R-NORTH,2021,13634.26
10018,R-NORTH,2022,14854.78
10018,R-NORTH,2023,15739.4
10018,R-NORTH,2024,19069.35
10018,R-NORTH,2025,11038.88
10019,R-WEST,2018,8758.05
10019,R-WEST,2019,10043.36
10019,R-WEST,2020,8938.44
10019,R-WEST,2021,9752.44
10019,R-WEST,2022,9811.12
10019,R-WEST,2023,9933.65
10019,R-WEST,2024,8873.94
10019,R-WEST,2025,5688.66
10020,R-EAST,2018,13752.03
10020,R-EAST,2019,15621.23
10020,R-EAST,2020,17915.39
10020,R-EAST,2021,16250.76
10020,R-EAST,2022,17327.46
10020,R-EAST,2023,15396.8
10020,R-EAST,2024,15371.99
10020,R-EAST,2025,8477.99
10021,R-EAST,2018,4855.85
10021,R-EAST,2019,4582.6
10021,R-EAST,2020,4491.2
10021,R-EAST,2021,4191.25
10021,R-EAST,2022,4334.54
