ID,Year,Geography,Revenue,Number of Purchases,Average Spend
10001,2020,Fictional Region,7759.52,15,517.3
10001,2021,Fictional Region,8265.92,21,393.62
10001,2022,Fictional Region,9851.72,13,757.82
10001,2023,Fictional Region,9249.87,11,840.9
10002,2020,Fictional Region,14312.75,33,433.72
10002,2021,Fictional Region,16047.05,37,433.7
10002,2022,Fictional Region,17966.55,38,472.8
10002,2023,Fictional Region,17751.3,38,467.14
10003,2020,Fictional Region,4975.19,56,88.84
10003,2021,Fictional Region,3740.42,57,65.62
10003,2022,Fictional Region,4176.2,57,73.27
10003,2023,Fictional Region,4468.47,68,65.71
10004,2020,Fictional Region,9895.46,26,380.59
10004,2021,Fictional Region,10674.53,28,381.23
10004,2022,Fictional Region,10675.99,24,444.83
10004,2023,Fictional Region,9636.52,24,401.52
10005,2020,Fictional Region,9874.75,16,617.17
10005,2021,Fictional Region,10160.26,9,1128.92
10005,2022,Fictional Region,10613.51,12,884.46
10005,2023,Fictional Region,8884.96,10,888.5
10006,2020,Fictional Region,7500.43,27,277.79
10006,2021,Fictional Region,7903.81,32,246.99
10006,2022,Fictional Region,7524.79,42,179.16
10006,2023,Fictional Region,8244.51,40,206.11
10007,2020,Fictional Region,5052.55,62,81.49
10007,2021,Fictional Region,4423.85,60,73.73
10007,2022,Fictional Region,5863.16,62,94.57
10007,2023,Fictional Region,4974.56,58,85.77
10008,2020,Fictional Region,7550.38,27,279.64
10008,2021,Fictional Region,7693.57,27,284.95
10008,2022,Fictional Region,8168.38,23,355.15
10008,2023,Fictional Region,7792.52,27,288.61
10009,2020,Fictional Region,7214.38,20,360.72
10009,2021,Fictional Region,7729.02,15,515.27
10009,2022,Fictional Region,7935.48,13,610.42
10009,2023,Fictional Region,7511.48,11,682.86
10010,2020,Fictional Region,10299.89,34,302.94
10010,2021,Fictional Region,10634.55,37,287.42
10010,2022,Fictional Region,11287.96,36,313.55
10010,2023,Fictional Region,10223.74,40,255.59
10011,2020,Fictional Region,9935.78,60,165.6
10011,2021,Fictional Region,11189.62,61,183.44
10011,2022,Fictional Region,11902.64,65,183.12
10011,2023,Fictional Region,11796.5,65,181.48
10012,2020,Fictional Region,23697.81,22,1077.17
10012,2021,Fictional Region,25568.67,30,852.29
10012,2022,Fictional Region,24626.11,23,1070.7
10012,2023,Fictional Region,28700.44,28,1025.02
10013,2020,Fictional Region,7161.7,18,397.87
10013,2021,Fictional Region,7206.05,16,450.38
10013,2022,Fictional Region,7671.85,11,697.44
10013,2023,Fictional Region,7854.3,14,561.02
10014,2020,Fictional Region,5785.22,29,199.49
10014,2021,Fictional Region,5022.57,39,128.78
10014,2022,Fictional Region,6147.86,43,142.97
10014,2023,Fictional Region,5341.61,38,140.57
10015,2020,Fictional Region,8430.91,59,142.9
10015,2021,Fictional Region,8293.46,57,145.5
10015,2022,Fictional Region,7938.97,58,136.88
