ID,Year,Revenue,Revenue Growth Rate,Number of Purchases,Average Spend,Cluster,Segment
10001,2021,8265.92,0.06526176876920209,21,393.62,1,Growing mid-value
10001,2022,9851.72,0.1918479733653362,13,757.82,1,Growing mid-value
10001,2023,9249.87,-0.06109085520091906,11,840.9,3,Declining lower-value
10002,2021,16047.05,0.121171682590697,37,433.7,1,Growing mid-value
10002,2022,17966.55,0.11961700125568253,38,472.8,1,Growing mid-value
10002,2023,17751.3,-0.01198059727660572,38,467.14,3,Declining lower-value
10003,2021,3740.42,-0.248185496433302,57,65.62,3,Declining lower-value
10003,2022,4176.2,0.11650563305725026,57,73.27,2,Frequent lower-basket
10003,2023,4468.47,0.06998467506345496,68,65.71,2,Frequent lower-basket
10004,2021,10674.53,0.07873004387870819,28,381.23,1,Growing mid-value
10004,2022,10675.99,0.00013677417179014384,24,444.83,1,Growing mid-value
10004,2023,9636.52,-0.09736520922181446,24,401.52,3,Declining lower-value
10005,2021,10160.26,0.02891313704144416,9,1128.92,0,High-value / high-spend
10005,2022,10613.51,0.04461007887593427,12,884.46,1,Growing mid-value
10005,2023,8884.96,-0.16286318098348251,10,888.5,3,Declining lower-value
10006,2021,7903.81,0.053780916560783876,32,246.99,1,Growing mid-value
10006,2022,7524.79,-0.04795408796517131,42,179.16,3,Declining lower-value
10006,2023,8244.51,0.09564652302589183,40,206.11,1,Growing mid-value
10007,2021,4423.85,-0.12443221739517663,60,73.73,2,Frequent lower-basket
10007,2022,5863.16,0.325352351458571,62,94.57,2,Frequent lower-basket
10007,2023,4974.56,-0.15155649854344744,58,85.77,2,Frequent lower-basket
10008,2021,7693.57,0.01896460840381531,27,284.95,1,Growing mid-value
10008,2022,8168.38,0.0617151725401861,23,355.15,1,Growing mid-value
10008,2023,7792.52,-0.04601401991582166,27,288.61,3,Declining lower-value
10009,2021,7729.02,0.07133530532076215,15,515.27,1,Growing mid-value
10009,2022,7935.48,0.026712312815854844,13,610.42,1,Growing mid-value
10009,2023,7511.48,-0.05343092037280672,11,682.86,3,Declining lower-value
10010,2021,10634.55,0.03249160913368976,37,287.42,1,Growing mid-value
10010,2022,11287.96,0.06144218608215679,36,313.55,1,Growing mid-value
10010,2023,10223.74,-0.09427921431330366,40,255.59,3,Declining lower-value
10011,2021,11189.62,0.1261944205688934,61,183.44,2,Frequent lower-basket
10011,2022,11902.64,0.06372155622800402,65,183.12,2,Frequent lower-basket
10011,2023,11796.5,-0.008917349428362087,65,181.48,2,Frequent lower-basket
10012,2021,25568.67,0.07894653556594466,30,852.29,1,Growing mid-value
10012,2022,24626.11,-0.03686386503482575,23,1070.7,0,High-value / high-spend
10012,2023,28700.44,0.16544756764263613,28,1025.02,1,Growing mid-value
10013,2021,7206.05,0.006192663753019634,16,450.38,1,Growing mid-value
10013,2022,7671.85,0.06464012878067726,11,697.44,1,Growing mid-value
10013,2023,7854.3,0.023781747557629407,14,561.02,1,Growing mid-value
10014,2021,5022.57,-0.13182731166662642,39,128.78,3,Declining lower-value
10014,2022,6147.86,0.22404665340652286,43,142.97,1,Growing mid-value
10014,2023,5341.61,-0.13114319454249124,38,140.57,3,Declining lower-value
10015,2021,8293.46,-0.016303103698177335,57,145.5,2,Frequent lower-basket
10015,2022,7938.97,-0.0427433182290623,58,136.88,2,Frequent lower-basket
10015,2023,7978.17,0.004937668236559611,63,126.64,2,Frequent lower-basket
10016,2021,9585.19,-0.07617701967217216,30,319.51,3,Declining lower-value
10016,2022,9082.4,-0.052454880915245417,24,378.43,3,Declining lower-value
10016,2023,9081.49,-0.00010019378137937629,28,324.34,3,Declining lower-value
10017,2021,15972.76,-0.1284141898244524,19,840.67,3,Declining lower-value
10017,2022,17727.07,0.10983136289532935,15,1181.8,0,High-value / high-spend
10017,2023,17170.19,-0.031414102838201785,15,1144.68,0,High-value / high-spend
10018,2021,14854.78,0.0895186097375289,33,450.14,1,Growing mid-value
10018,2022,15739.4,0.059551201700732026,40,393.48,1,Growing mid-value
10018,2023,19069.35,0.2115677853031246,42,454.03,1,Growing mid-value
