Customer ID,Region Code,Forecast Year,Forecast Revenue,Method
10001,R-EAST,2026,7909.0371428571525,Linear Regression
10001,R-EAST,2027,7948.815119047635,Linear Regression
10001,R-EAST,2028,7988.593095238102,Linear Regression
10002,R-SOUTH,2026,15477.108928571455,Linear Regression
10002,R-SOUTH,2027,15851.444523809594,Linear Regression
10002,R-SOUTH,2028,16225.780119047617,Linear Regression
10003,R-WEST,2026,3341.4075000000303,Linear Regression
10003,R-WEST,2027,3197.4799999999814,Linear Regression
10003,R-WEST,2028,3053.5524999999907,Linear Regression
10004,R-EAST,2026,7667.5328571428545,Linear Regression
10004,R-EAST,2027,7207.934880952351,Linear Regression
10004,R-EAST,2028,6748.336904761847,Linear Regression
10005,R-NORTH,2026,7967.272500000021,Linear Regression
10005,R-NORTH,2027,7734.344999999972,Linear Regression
10005,R-NORTH,2028,7501.417499999981,Linear Regression
10006,R-WEST,2026,6807.342857142859,Linear Regression
10006,R-WEST,2027,6775.409880952378,Linear Regression
10006,R-WEST,2028,6743.476904761905,Linear Regression
10007,R-EAST,2026,4249.029642857116,Linear Regression
10007,R-EAST,2027,4123.2876190475945,Linear Regression
10007,R-EAST,2028,3997.5455952380726,Linear Regression
10008,R-EAST,2026,5838.671785714338,Linear Regression
10008,R-EAST,2027,5479.46107142861,Linear Regression
10008,R-EAST,2028,5120.250357142882,Linear Regression
10009,R-NORTH,2026,6916.354642857143,Linear Regression
10009,R-NORTH,2027,6967.801785714284,Linear Regression
10009,R-NORTH,2028,7019.2489285714255,Linear Regression
10010,R-SOUTH,2026,9125.538214285742,Linear Regression
10010,R-SOUTH,2027,9016.858928571455,Linear Regression
10010,R-SOUTH,2028,8908.179642857169,Linear Regression
10011,R-SOUTH,2026,11286.357499999984,Linear Regression
10011,R-SOUTH,2027,11546.783333333267,Linear Regression
10011,R-SOUTH,2028,11807.209166666551,Linear Regression
10012,R-WEST,2026,25401.068571428536,Linear Regression
10012,R-WEST,2027,26261.02714285697,Linear Regression
10012,R-WEST,2028,27120.985714285634,Linear Regression
10013,R-EAST,2026,5879.656785714265,Linear Regression
10013,R-EAST,2027,5687.100238095212,Linear Regression
10013,R-EAST,2028,5494.543690476159,Linear Regression
10014,R-WEST,2026,4448.867857142817,Linear Regression
10014,R-WEST,2027,4283.754880952358,Linear Regression
10014,R-WEST,2028,4118.641904761898,Linear Regression
10015,R-SOUTH,2026,5946.6157142857555,Linear Regression
10015,R-SOUTH,2027,5560.535595238092,Linear Regression
10015,R-SOUTH,2028,5174.455476190429,Linear Regression
10016,R-NORTH,2026,7852.818214285711,Linear Regression
10016,R-NORTH,2027,7635.5489285714575,Linear Regression
10016,R-NORTH,2028,7418.2796428571455,Linear Regression
10017,R-EAST,2026,14285.409285714268,Linear Regression
10017,R-EAST,2027,13924.12607142853,Linear Regression
10017,R-EAST,2028,13562.842857142794,Linear Regression
10018,R-NORTH,2026,16419.730714285513,Linear Regression
10018,R-NORTH,2027,17083.058928571176,Linear Regression
10018,R-NORTH,2028,17746.38714285707,Linear Regression
10019,R-WEST,2026,7673.786785714328,Linear Regression
10019,R-WEST,2027,7384.637738095247,Linear Regression
10019,R-WEST,2028,7095.488690476166,Linear Regression
10020,R-EAST,2026,12622.58750000014,Linear Regression
10020,R-EAST,2027,12091.116666666698,Linear Regression
10020,R-EAST,2028,11559.645833333489,Linear Regression
10021,R-EAST,2026,2589.688214285765,Linear Regression
10021,R-EAST,2027,2273.4164285714505,Linear Regression
10021,R-EAST,2028,1957.1446428571362,Linear Regression
10022,R-SOUTH,2026,5128.464642857085,Linear Regression
10022,R-SOUTH,2027,4915.067619047593,Linear Regression
10022,R-SOUTH,2028,4701.6705952380435,Linear Regression
10023,R-WEST,2026,3993.35964285722,Linear Regression
10023,R-WEST,2027,3779.600119047682,Linear Regression
10023,R-WEST,2028,3565.8405952381436,Linear Regression
10024,R-WEST,2026,5981.145714285725,Linear Regression
10024,R-WEST,2027,5813.303095238109,Linear Regression
10024,R-WEST,2028,5645.460476190492,Linear Regression
10025,R-EAST,2026,3521.4135714285076,Linear Regression
10025,R-EAST,2027,3335.830476190429,Linear Regression
10025,R-EAST,2028,3150.247380952351,Linear Regression
10026,R-NORTH,2026,9426.16214285721,Linear Regression
10026,R-NORTH,2027,9066.169285714277,Linear Regression
10026,R-NORTH,2028,8706.17642857146,Linear Regression
10027,R-SOUTH,2026,3657.4957142856438,Linear Regression
10027,R-SOUTH,2027,3123.196428571362,Linear Regression
10027,R-SOUTH,2028,2588.8971428570803,Linear Regression
10028,R-NORTH,2026,2704.926785714284,Linear Regression
10028,R-NORTH,2027,2466.686904761882,Linear Regression
10028,R-NORTH,2028,2228.447023809538,Linear Regression
10029,R-NORTH,2026,8324.892142857134,Linear Regression
10029,R-NORTH,2027,8562.599285714328,Linear Regression
10029,R-NORTH,2028,8800.306428571464,Linear Regression
10030,R-EAST,2026,6375.042142857099,Linear Regression
10030,R-EAST,2027,6007.866785714286,Linear Regression
10030,R-EAST,2028,5640.691428571474,Linear Regression
10031,R-EAST,2026,7633.46964285709,Linear Regression
10031,R-EAST,2027,6997.689285714179,Linear Regression
10031,R-EAST,2028,6361.908928571269,Linear Regression
10032,R-WEST,2026,27576.03392857127,Linear Regression
10032,R-WEST,2027,28357.277023809496,Linear Regression
10032,R-WEST,2028,29138.52011904749,Linear Regression
10033,R-SOUTH,2026,44242.62928571412,Linear Regression
10033,R-SOUTH,2027,45973.97940476192,Linear Regression
10033,R-SOUTH,2028,47705.32952380972,Linear Regression
10034,R-SOUTH,2026,5809.772499999963,Linear Regression
10034,R-SOUTH,2027,5166.714166666614,Linear Regression
10034,R-SOUTH,2028,4523.655833333265,Linear Regression
10035,R-SOUTH,2026,4463.121071428584,Linear Regression
10035,R-SOUTH,2027,4274.522976190492,Linear Regression
10035,R-SOUTH,2028,4085.9248809523997,Linear Regression
10036,R-NORTH,2026,3177.6689285714237,Linear Regression
10036,R-NORTH,2027,3097.6886904761777,Linear Regression
10036,R-NORTH,2028,3017.708452380961,Linear Regression
10037,R-NORTH,2026,13655.494999999879,Linear Regression
10037,R-NORTH,2027,14116.555833333288,Linear Regression
10037,R-NORTH,2028,14577.616666666581,Linear Regression
10038,R-SOUTH,2026,4147.310357142822,Linear Regression
10038,R-SOUTH,2027,3881.452380952309,Linear Regression
10038,R-SOUTH,2028,3615.5944047619123,Linear Regression
10039,R-NORTH,2026,5788.788571428566,Linear Regression
10039,R-NORTH,2027,5559.074642857129,Linear Regression
10039,R-NORTH,2028,5329.360714285693,Linear Regression
10040,R-EAST,2026,7711.843571428588,Linear Regression
10040,R-EAST,2027,7814.083809523814,Linear Regression
10040,R-EAST,2028,7916.3240476190695,Linear Regression
10041,R-SOUTH,2026,8793.733928571455,Linear Regression
